uri,artist_names,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,uri_artist,artist_pop,num_followers,artist_genres,track_pop
spotify:track:3NMrVbIVWT3fPXBj0rNDKG,Taylor Swift,The Tortured Poets Department,0.0483,0.604,293048,0.428,0.0,0.126,-8.441,1,0.0255,110.259,4,0.292,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],70
spotify:track:2XXwLdtuAcE0HSCu61ijAb,Taylor Swift,My Boy Only Breaks His Favorite Toys,0.137,0.596,203801,0.563,0.0,0.302,-7.362,1,0.0269,97.073,4,0.481,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],71
spotify:track:5og4Qzt92jJzVDkOtSEilb,Taylor Swift,But Daddy I Love Him,0.384,0.521,340428,0.72,0.0,0.135,-7.684,1,0.104,79.943,4,0.438,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],72
spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,"Taylor Swift, Florence + The Machine",Florida!!! (feat. Florence + The Machine),0.178,0.533,215463,0.573,0.0,0.309,-7.123,1,0.138,150.088,4,0.398,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],72
spotify:track:36t6frENUtCYKuZus6aYDO,Taylor Swift,Who’s Afraid of Little Old Me?,0.315,0.606,334085,0.338,0.0,0.106,-10.555,1,0.048,119.88,4,0.238,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],74
spotify:track:0W0iAC1VGlB82PI6elxFYf,Taylor Swift,Guilty as Sin?,0.607,0.626,254366,0.428,0.0,0.0921,-8.374,1,0.0261,94.95,3,0.487,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],77
spotify:track:3fO566xJgwxIa3qGCGBvIC,Taylor Swift,Fresh Out The Slammer,0.624,0.33,210789,0.483,0.0,0.111,-9.394,1,0.0399,87.115,4,0.34,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],65
spotify:track:6RSG1dKPV5gEvILwJb4QtS,Taylor Swift,loml,0.858,0.423,277157,0.272,0.0,0.108,-12.56,1,0.0489,78.539,3,0.195,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],69
spotify:track:2v1ivOOsgn64g5OywuH55L,Taylor Swift,The Smallest Man Who Ever Lived,0.52,0.426,245542,0.41,0.0,0.338,-9.083,1,0.0581,142.377,1,0.263,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],69
spotify:track:1dhMTsEZz6ZEquGvmzVoHn,Taylor Swift,The Alchemy,0.422,0.64,196900,0.421,0.0,0.103,-8.802,1,0.0273,100.056,4,0.353,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],68
spotify:track:2h3MDMf8sd9s4XIzpTBIjX,Taylor Swift,I Can Fix Him (No Really I Can),0.768,0.661,156298,0.257,1.72e-06,0.176,-13.961,0,0.045,106.896,4,0.318,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],61
spotify:track:1UlhrRvYzbHEyugEDspXUB,Taylor Swift,Clara Bow,0.636,0.686,216662,0.318,0.00144,0.106,-11.046,1,0.0263,104.088,4,0.214,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],61
spotify:track:62E2nR0od0M5HYxuYLaDz7,Taylor Swift,The Black Dog,0.707,0.527,238857,0.27,0.0,0.102,-10.855,1,0.038,154.042,4,0.23,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],74
spotify:track:3eh51r6rFWAlGQRlHx9QnQ,Drake,Push Ups,0.0153,0.598,232774,0.696,0.0,0.219,-4.789,1,0.112,91.057,4,0.209,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",73
spotify:track:1kcwpPDQnqEqmezzXdJTCP,Taylor Swift,imgonnagetyouback,0.608,0.784,222072,0.391,0.0,0.252,-9.471,1,0.0633,110.007,4,0.15,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],75
